ticker,name,category,subcategory,cycle_stage,lead_time_advantage_yrs,ownership_score,supply_response_score,constraint_controlled,physics_thesis,key_metrics,reasoning
BE,Bloom Energy,Power Generation,Solid Oxide Fuel Cells,middle,5.0,8,7,"Bloom manufactures and deploys solid oxide fuel cell systems that deliver on-site power to data centers in 12-18 months, bypassing the 5-7 year grid interconnection queue.","Bloom is one of the few commercially-scaled solutions that lets hyperscalers bring AI training capacity online without waiting for utility grid connections, which are now the binding constraint on AI buildout. Their SOFC technology is differentiated, vertically manufactured, and already contracted with AEP, Equinix, and Oracle. The physics arbitrage is real: they bypass the grid queue with a manufacturable product competitors cannot replicate quickly.",MW of data center backlog/bookings; product gross margin; deployment lead time vs grid queue,"Bloom directly manufactures and owns the IP/factory for SOFC stacks — a genuine physical product addressing the grid bottleneck — earning a high ownership score, though it's an equipment OEM rather than an irreplaceable resource holder. Supply response is moderate-to-slow because SOFC manufacturing capacity, ceramic stack production, and permitting take 2-5 years to scale, but unlike uranium or copper it is ultimately a manufacturable good."
VST,Vistra Energy,Power Generation,Nuclear and Gas Generation,middle,8.0,9,9,Vistra owns ~41 GW of dispatchable generation including 6.4 GW of nuclear capacity (Comanche Peak and the Energy Harbor fleet) plus large gas and coal fleets with existing grid interconnections.,"Vistra controls one of the largest fleets of already-interconnected, dispatchable baseload power in the US, including four nuclear reactors that are physically irreplaceable on any reasonable AI buildout timeline. Hyperscalers are signing behind-the-meter and PPA deals directly with nuclear operators (cf. Amazon-Talen, Microsoft-Constellation), and Vistra's nuclear plus ERCOT gas footprint makes it a prime counterparty. New nuclear takes 10+ years and new large gas plants face 5-7 year interconnection queues, so existing GW are the scarce asset.",Nuclear PPA announcements and pricing ($/MWh); ERCOT and PJM forward power curves; uncontracted nuclear/gas GW available for hyperscaler deals,"Ownership is 9 because Vistra physically owns and operates a large nuclear fleet plus interconnected gas capacity — direct control of the exact asset hyperscalers need, with only a handful of peers (Constellation, Talen, NextEra). Supply response is 9 because new nuclear is a 10+ year build and new large interconnected thermal capacity is 5-10 years even with unlimited capital, so the existing fleet cannot be meaningfully replicated near-term."
CEG,Constellation Energy,Nuclear Revival,Nuclear Power Generation,middle,10.0,10,10,"Largest US nuclear fleet (~22 GW) of operating, licensed, carbon-free baseload generation directly contractable by hyperscalers.","Constellation owns the largest fleet of operating nuclear reactors in the US — irreplaceable 24/7 carbon-free baseload that AI hyperscalers are signing decade-plus PPAs for (e.g. Three Mile Island restart with Microsoft). New nuclear takes 10+ years and faces NRC licensing, fuel, and supply chain bottlenecks, so existing licensed gigawatts are effectively un-replicable on the AI buildout timeline. This is a textbook physics arbitrage: scarce, licensed, already-connected baseload power.",GW contracted to hyperscalers via PPAs; realized $/MWh on data center contracts; license extensions and uprate MW added,"Ownership is a 10 because CEG physically operates the largest licensed nuclear fleet in the US — geologically/regulatorily irreplaceable assets with no substitute for 24/7 clean baseload. Supply response is a 10 because new nuclear capacity requires 10+ years for licensing and construction even with unlimited capital, and SMRs are not yet commercially deployed at scale."
NRG,NRG Energy,Power Generation,Independent Power Producer,middle,4.0,6,7,"NRG owns and operates ~13 GW of dispatchable generation capacity (gas, coal) primarily in ERCOT/Texas, plus a large retail electricity customer book.","NRG controls existing, interconnected generation capacity in Texas — the most AI-data-center-hungry grid in the US — at a moment when new generation queues are 5+ years long. Its retail platform also positions it to sign long-term PPAs with hyperscalers seeking firm power. However, its fleet is largely gas/coal with retail services (Vivint) diluting the pure-play physics angle.",MW of dispatchable capacity in ERCOT; hyperscaler PPA announcements; ERCOT forward power prices,"Ownership score of 6 because NRG directly operates physical generation assets behind grid interconnects (a real bottleneck), but multiple IPP competitors exist (Vistra, Constellation, Talen) and a meaningful chunk of revenue is retail/smart home services rather than pure generation. Supply response of 7 reflects that new gas plants take 3-5 years and grid interconnection queues stretch 5-7 years, so existing capacity is genuinely scarce but not as irreplaceable as nuclear or uranium."
CORZ,Core Scientific,Pre-Connected Power,Bitcoin Miner to AI Hosting,early,6.0,9,8,"Owns and operates ~1.2GW of energized, grid-connected data center power capacity across multiple US sites that can be converted from Bitcoin mining to AI/HPC hosting.","Core Scientific controls something AI hyperscalers physically cannot get for 5-7 years: large-scale, already-energized grid interconnections. The CoreWeave 12-year, $10B+ contract validates that pre-connected power sites are the binding constraint for AI buildout. New interconnects of this scale face multi-year ISO queues regardless of capital deployed.",Contracted AI/HPC power capacity (MW); CoreWeave contract revenue realization; Incremental MW energized per quarter,"Core Scientific is the canonical example in this framework — it physically owns and operates the scarcest asset in the AI buildout: gigawatts of pre-existing grid interconnection. Ownership scores 9 (not 10) because a handful of other Bitcoin miners hold similar pre-connected sites. Supply response is 8 because replicating 1GW+ of new grid interconnect takes 5-7 years minimum even with unlimited capital, due to ISO queues and transmission constraints."
WULF,TeraWulf,Pre-Connected Power,Bitcoin-to-HPC Hosting,middle,6.0,8,8,"TeraWulf owns and operates the Lake Mariner site in upstate New York with ~750 MW of grid-connected power (zero-carbon, nuclear/hydro-fed) being converted from bitcoin mining to AI/HPC hosting, with multi-hundred-MW leases signed to Core42/Fluidstack/Google.","WULF directly controls a scarce physical asset that AI hyperscalers desperately need: pre-existing, energized grid interconnection at a single campus capable of scaling past 1 GW. Replicating this from scratch requires 5-7 years of utility queue time plus substation, transformer, and zoning work — capital cannot compress this. As a converter of crypto-era power into AI hosting, it sits in the same physics-arbitrage bucket as CORZ.",Contracted MW of HPC capacity (and lease economics $/kW); Lake Mariner energized capacity expansion schedule; counterparty quality and lease tenor of hyperscaler contracts,"Ownership 8 because WULF physically owns and operates the Lake Mariner site with energized, low-carbon interconnection — a genuinely scarce asset with limited replicability — though it is one of several pre-connected miners (CORZ, IREN, CIFR) competing for the same thesis, keeping it below 9-10. Supply response 8 because new comparable sites require 5-7+ years of grid queue, transformer procurement, and permitting — unlimited capital cannot meaningfully accelerate the ISO interconnection process."
IREN,Iris Energy,Pre-Connected Power,Bitcoin Miner to AI HPC,middle,6.0,8,8,"Owns and operates ~2.9 GW of secured grid-connected power capacity at data center sites in Texas and British Columbia, with operational substations and energized infrastructure.","IREN controls pre-connected, energized power capacity — the single scarcest input for AI training, with grid interconnection queues now running 5-7 years in ERCOT and most North American utilities. The company is actively converting Bitcoin mining sites to AI/HPC hosting (Childress, Sweetwater) with liquid-cooled GPU deployments, leveraging existing substations and PPAs that cannot be replicated quickly. Like CORZ, the physics arbitrage is owning energized megawatts today rather than waiting for new interconnects.",Energized MW capacity and AI/HPC contracted MW; AI cloud + colocation revenue run-rate; GPU fleet size and utilization,"Ownership score 8 because IREN directly owns the land, substations, and grid interconnections — a genuinely scarce physical asset with 5-7 year replication time — though it competes with several other miner-to-AI converts (CORZ, CIFR, APLD, WULF). Supply response 8 because new grid-connected gigawatt-scale sites take 5-7+ years to permit, interconnect, and energize regardless of capital."
APLD,Applied Digital,Pre-Connected Power,HPC Data Centers,middle,4.0,7,7,Operates data center sites in North Dakota with secured power capacity (400MW+ at Ellendale) and grid interconnects for HPC/AI hosting.,"Applied Digital pivoted from crypto hosting to AI/HPC hosting, leveraging already-energized sites with power purchase agreements that bypass multi-year grid interconnection queues. Their Ellendale campus has signed a long-term lease with CoreWeave, validating the pre-connected power thesis. The bottleneck they control is energized, build-ready land — scarce in the current AI buildout.",Contracted MW capacity leased to hyperscalers; Ellendale campus build-out progress; lease revenue and tenant credit quality (CoreWeave),"APLD directly operates physical data center infrastructure with pre-secured power, similar to CORZ — earning a 7 on ownership since they own/operate the asset but face competition from other repurposed crypto sites and hyperscaler-owned campuses. Supply response is 7 because new sites with comparable power take 2-5 years to interconnect, though APLD's specific edge is narrower than uranium or nuclear assets."
RIOT,Riot Platforms,Pre-Connected Power,Bitcoin Mining Power Sites,middle,4.0,7,7,"Riot operates large-scale, grid-connected power capacity at its Rockdale (Texas) and Corsicana facilities, totaling ~1+ GW of contracted/energized power that bypasses multi-year interconnection queues.","Riot owns and operates Bitcoin mining sites with already-energized substations and ERCOT interconnects — exactly the scarce 'pre-connected power' that hyperscalers now need for AI training. Its Corsicana site (up to 1 GW) is one of the largest single-site power buildouts in North America and could be partially converted to HPC/AI hosting, similar to the CORZ playbook. The Engineering segment (E4A Solutions) also manufactures power distribution equipment, adding modest grid-infrastructure exposure.",Energized MW capacity and interconnection status at Corsicana; AI/HPC hosting contract announcements or co-location deals; power cost per kWh and PPA structure,"Ownership score 7 because Riot directly owns and operates physical, grid-connected power sites — a genuine bottleneck — but it has not yet converted to AI hosting and faces several peer miners (CORZ, IREN, CIFR, WULF) with similar pre-connected power; it is not the dominant operator. Supply response score 7 reflects that replicating a 1 GW ERCOT-interconnected site takes 4-7 years given transformer lead times and interconnection queues, though Texas is faster than most US grids."
MARA,Marathon Digital,Pre-Connected Power,Bitcoin Mining Power Sites,early,4.0,7,6,"Owns and operates large-scale energized data center sites with grid-connected power capacity (~1+ GW) currently used for Bitcoin mining, convertible to AI/HPC hosting.","MARA directly owns and operates power-energized data center infrastructure that bypasses the 5-7 year grid interconnection queue strangling AI buildout. Like CORZ, its Bitcoin mining footprint represents pre-connected megawatts that can be repurposed for AI inference/training colocation. However, its sites are often less suited to high-density GPU compute than peers (older air-cooled designs, remote locations), and the AI pivot is earlier-stage than CORZ's CoreWeave deal.",Energized MW capacity owned vs hosted; AI/HPC revenue mix and contracted hyperscaler deals; PUE and liquid-cooling retrofit capex,"Ownership score of 7 reflects direct physical operation of grid-connected power sites — a real bottleneck asset — but tempered by competition from CORZ, IREN, CIFR, RIOT, WULF and questions about site suitability for dense AI workloads. Supply response of 6 reflects that new grid-connected gigawatt sites take 2-5 years to build and energize, though existing miners worldwide create some near-term substitutes for the pre-connected power thesis."
